Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
B2B Marketing on LinkedIn (2018),"While LinkedIn—the world's largest and most powerful network of professionals—is widely recognized as a top recruiting tool, it also offers features that companies and individuals can leverage for business-to-business (B2B) marketing. In this course, join LinkedIn expert Viveka von Rosen as she shares best practices, tips, and strategies for effectively conducting B2B marketing on the LinkedIn platform. Viveka shares step-by-step actions that individuals on your sales team can take using video, updates, InMail, and other features. She also shares how to leverage Company Pages for B2B marketing, including how to best align marketing campaigns with LinkedIn, increase brand and culture awareness with video, and more.",Course,2019-04-03 14:04 UTC,2019-04-03 14:01 UTC,false,N/A,
Business Development Foundations: Researching Market and Customer Needs,"Business development is the foundation of economic growth and can jump-start lasting relationships. In this course, Lisa Earle McLeod and Elizabeth McLeod discuss fundamental business development concepts and techniques that can help you gain a better understanding of your market and potential clients. This, in turn, can prepare you to demonstrate a compelling value case that helps you connect with customers and close more deals.<br><br>

They begin by reviewing research fundamentals and key insights to consider before you get on the phone with a potential customer or schedule that first in-person meeting. They also discuss the landscape of business development and how to leverage internal systems for more successful conversations. Lisa and Elizabeth spell out how to speak like a leader, unpack and discuss your competitors' strengths and weaknesses, avoid common mistakes, and more.",Course,2019-08-17 09:08 UTC,2019-08-17 09:06 UTC,false,N/A,
Online Marketing Foundations (2018),"Learn how to promote your business effectively online and develop a targeted online marketing strategy that engages potential customers throughout the digital landscape. In this course, Brad Batesole explains today's digital marketing techniques in simple terms, demonstrating how to build a successful online marketing campaign for all digital channels: search, video, social, email, and display.<br><br>

Brad shows how to evaluate your website and identify conversion goals, measure and interpret website analytics, get the most out of SEO, and set up your first text and display ads. See how to connect with communities on the leading social networks, learn best practices for developing and distributing video marketing content, and find out what makes an email marketing campaign successful. This course also covers content marketing, mobile marketing, and influencer marketing, as well as recommendations for expanding your digital marketing skillset. Upon completing this foundational digital marketing course, you'll be equipped with skills and strategies that can help you navigate today's online landscape and develop a smart plan of action.",Course,2019-07-27 12:52 UTC,2019-05-10 09:15 UTC,false,N/A,
Machine Learning for Marketing: Essential Training,"Artificial intelligence and machine learning are changing the world. Computers can ""learn"" from data without being programmed and make automated, intelligent decisions. The technology is accessible to businesses large and small, and is making a major impact on the way companies conduct marketing. With machine learning, marketers can automate many tasks within the customer journey, including customer segmentation, personalization, and even pricing. This course helps those in technical, creative, and leadership roles understand how machine learning can revolutionize the way you sell to your B2B and B2C customers. Marketing consultant Chris DallaVilla shows how machine learning can be used in all aspects of marketing, from improving customer engagement to optimizing account-based marketing. He provides practical use cases that show the technology in action, and baseline information you can use to optimize all your campaigns.",Course,2019-08-22 10:39 UTC,2019-08-22 10:37 UTC,false,N/A,
Learning to Use Stock Photos and Assets,"Stock images and illustrations are a great resource. You can acquire assets quickly and inexpensively, and gain access to a wide variety of subjects and styles. This course outlines the benefits of using stock photos and assets and shows how to find and purchase images from the most popular stock photography sites, including Adobe Stock, iStockphoto, and Shutterstock. Instructor Kevin Stohlmeyer covers important topics such as choosing a subscription plan, understanding the licensing terms, customizing images, and incorporating stock assets into your designs and documents.",Course,2019-06-12 14:16 UTC,N/A,false,N/A,
Organizing an Outline,"Almost all writing—whether you're working on a book, an essay, a presentation, or an article—should begin with a clear outline. Outlines help you organize your thoughts into topics and organize those topics into a cohesive structure. Today, there are multiple software tools available to help. This course shows how to use one of the most popular, Microsoft Word, to write an outline for any type of project. Instructor Dan Gookin is the creator of the <i>For Dummies</i> series and the author of over 160 titles, with over 12 million copies in print. Here he shows you how to prepare, build, and edit an outline, and transition it to a final format such as a PowerPoint presentation or manuscript. The lessons will help writers at all levels organize content and transform their raw ideas into meaningful communication.",Course,2019-06-15 11:33 UTC,N/A,false,N/A,
Business Analysis Foundations: Business Process Modeling,"<p>When you're trying to grapple with user demands and market changes, it can be difficult to mentally zoom out and assess your organization's operations. Business process modeling helps you see the big picture by allowing you to translate your business processes into easily understood pictures. In this course, instructor Haydn Thomas walks you through the most widely used business process modeling diagrams—context, functional flow, cross-functional flow, and flowchart—and explains the purpose of each one. As Haydn touches on each modeling technique, he shares its unique features, explains how to use that technique to create a diagram, and points out how to avoid common pitfalls. He pulls it all together by comparing process diagrams so you can select the right one for your organization. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-business-analysis-by-microsoft-and-linkedin"">Professional Certificate</a> from Microsoft.</p>",Course,2019-04-16 13:50 UTC,2019-04-16 12:55 UTC,false,N/A,
Business Analysis: Business Benefits Realization,"Organizations introduce changes to their products and services to stay relevant, but they also want those changes to deliver specific benefits. In this course, Haydn Thomas covers the fundamentals of business benefits realization. He demonstrates how to document your expected outcomes, and then shows you how to put together a roadmap that includes the sequence of the expected benefits. Haydn wraps up by showing you how to tie the process together and avoid pitfalls along the way.",Course,2019-04-27 09:06 UTC,2019-04-27 08:48 UTC,false,N/A,
JavaScript: Classes (2018),"The release of ECMAScript 2015 brought class syntax to JavaScript, providing developers used to class inheritance with some familiar tools. If you're new to the language—or just unsure how classes work in ECMAScript 6 (ES6)—then this course is for you. Join instructor Emmanuel Henri as he explains how classes work in ES6. He starts with the foundations of classes and how they interact with other JavaScript features. He then goes over constructors, mixins, and extends, explaining how they work and sharing code examples.",Course,2021-12-26 15:13 UTC,2021-12-20 11:10 UTC,false,N/A,
AI in Fintech Essential Training (2019),"Roboadvisors, cryptocurrencies, and other technological innovations have been disrupting the finance world for years, challenging old ways of working with innovative new processes. There's even a word for the intersection of finance and technology: fintech. Curious about how fintech and the advancements it encompasses—namely, artificial intelligence (AI)—can affect your day-to-day work? If so, then this course is for you. Join Dr. Michael McDonald as he explores how fintech is changing the finance landscape, as well as how you can use AI in your banking or investment work. Discover how roboadvising works; explore borrowing and lending with online peer-to-peer (P2P) markets; learn how to evaluate the value of cryptocurrencies by building basic financial models with Excel; and more.",Course,2020-07-12 21:31 UTC,2020-07-12 21:26 UTC,false,N/A,
"Microsoft Collaboration: SharePoint, Teams, Groups, and Yammer (2020)","Learn how to create organization-wide systems of collaboration using Microsoft SharePoint, Teams, and Office 365 Groups. Instructor Gini von Courter dives into each of the programs, showing you how to create systems for asynchronous collaboration, such as file sharing, as well as communication-based collaboration that's targeted to specific members or groups inside an organization. Learn how to create a SharePoint team site and an Office 365 group, as well as how you can use your sites and groups together. Discover how to start using Teams as the collaboration hub that gives users one access point for their Teams, SharePoint sites, and Groups, including how to include cloud storage, create a tab for a page from a SharePoint site, display a SharePoint list in Teams, and more.",Course,2021-05-30 07:42 UTC,2020-12-31 13:26 UTC,false,N/A,
Python: Programming Efficiently (2017),"Cut down on your development time by learning how to write elegant code in an efficient manner, specifically in Python—the popular and pragmatic object-oriented language. Michele Vallisneri explains how to make your Python code more expressive and concise, and leverage the most powerful features of the language. He shines a spotlight on some of the strongest third-party packages you can take advantage of, discusses object-oriented and functional programming, and shares strategies for improving the performance of your code. Michele illustrates these concepts with many intriguing examples, showing how to make 3D images and videos using photographs taken by a NASA rover on Mars, map the rover's progress through Martian topography, draw and paint fractals, and more.",Course,2020-09-16 21:17 UTC,N/A,false,N/A,
Creating and Managing a YouTube Channel (2018),"By creating and curating a YouTube channel, you can build your online identity as you share your content with the world. In this course, learn how to set up a visually compelling new YouTube channel, build up your subscriber base, and convert clicks into action or commerce. Throughout the course, instructor Rich Harrington shares essential strategies for channel creation. Rich explains how to design artwork for your channel and shares tips for using YouTube cards and captions. He also dives into building a YouTube community, managing your channel in Creator Studio, live streaming, and more.",Course,2019-06-27 17:28 UTC,2019-06-27 17:20 UTC,false,N/A,
Elearning Essentials: Storyboarding,"You wouldn't start construction without a blueprint. So why create elearning without a plan? Storyboarding is one of the most effective tools that elearning authors have at their disposal. It allows you to visualize training and communicate your ideas to stakeholders—before spending hours on the design process. In this course, Brett Kirkpatrick shows how to effectively storyboard elearning, using examples and case studies from his own career as an instructional designer. Storyboarding can be approached in several ways; Brett shows to craft storyboards using a variety of styles and tools, including animation, scenarios, and knowledge checks. Throughout the course, he elaborates on the best practices to ensure the success of your project and provides a template you can use to develop your own storyboards.",Course,N/A,N/A,true,N/A,
Agile Software Development: Pair and Mob Programming,"When it comes to unraveling a particularly tricky coding problem, sometimes two (or more) minds are better than one. In this course, learn all about the mechanics, details, and value of collaborative coding approaches—namely,  pair programming and mob programming—that can help you solve problems at a faster clip. Learn practical techniques that can set you up for success when you try out pair or mob programming with your own teams. Plus, learn about variations to these approaches, including remote pair programming and working with nonprogrammers. Throughout the course, instructors Lynn Langit and Chiu-Ki Chan share scenarios that showcase how these collaborative techniques work in real-world situations.",Course,2021-11-08 10:48 UTC,2021-11-08 10:47 UTC,false,N/A,
PowerPoint: Silicon Valley Presentation Secrets (2018),"Learn how to take your PowerPoint decks to the next level. In this course, presentation guru Jole Simmons reveals the slide design techniques used by pro-level presentation designers at cutting-edge Silicon Valley companies. Jole begins with a primer on the essential elements of a strong presentation, as well as an explanation of why presentation design is so popular in big tech. Next, he launches into a number of different techniques you can use to create eye-catching, compelling slides. Learn how to craft custom shapes in PowerPoint, create a scrolling feed, use the PowerPoint Morph feature to create continuity through an intro sequence; add cool animations; and more.",Course,N/A,N/A,true,N/A,
Agile Project Management: Comparing Agile Tools (2019),"Agile is an exciting way to quickly deliver higher-quality products to your customer. New agile tools are emerging every day. This course helps you compare the strengths and capabilities of several different agile software tools, including Microsoft Excel, Atlassian JIRA, VersionOne, Microsoft Team Foundation Server (TFS), CA Agile Central (formerly Rally), and Agility Health. You'll see the advantages of simple tools like spreadsheets versus more complex solutions like complete product management packages. This course helps project managers, software developers, and other professionals determine which tool is the best fit for their team. Agile expert Doug Rose provides a fast-paced tour and an unvarnished look at what some of the tools get right and what some get wrong.  Doug concludes each section with suggested strategies for selecting the right tool for your team—always remembering that no tool should ever overshadow the core values outlined in the agile manifesto.",Course,2020-12-02 10:50 UTC,2020-10-28 10:23 UTC,false,N/A,
Change Leadership,"Leaders don't always get to plan for change. More than ever, change is suddenly thrust upon businesses, forcing managers and executives to quickly acclimate and lead decisively. This course was designed to meet these leaders where they are. Instructor Scott Mautz covers what it takes to lead brilliantly during uncertain times. Scott shares what to focus on to produce the biggest impact, as well as how to establish a sense of control while doing so. He also explains how to exude a helpful, productive vibe as a leader, as well as achieve the five core competencies of change leadership to inspire and guide your team. Along the way, Scott shares real-life examples of leaders navigating emergent changes.",Course,N/A,N/A,true,N/A,
Leadership Foundations (2019),"Leadership—the art of influencing and developing others to achieve their highest potential—is often identified as the most critical role in an organization. But what is effective leadership and how do you cultivate it? In this course, leadership consultant and global workforce expert Dr. Shirley Davis covers the basics of leading yourself and others. Along the way, she identifies the critical competencies and best practices for effectively leading today and in the future. Learn how to lead across differences and cultivate a more inclusive workplace; establish trust; build relationships up, down, and across the organization; lead change through agility and resilience; have difficult conversations; and more.",Course,2020-12-02 11:02 UTC,2020-11-11 10:53 UTC,false,N/A,
IT Service Management Foundations: Tools (2021),"You understand ITSM and ITIL, but how do you make it standard operating procedure at your company? Instructor Jim Kerrigan teaches you about the top ITSM tools available and what to keep in mind when choosing and implementing them. First, Jim goes over which tools and considerations are covered in this course. He discusses which of the selected tools have notable features of accessibility. Knowing who changed what when is the basis of auditability, and Jim talks about which tools excel here. He explains which tools are most efficient. He shows you which tools have the best out-of-the-box functionality, then does the same for measurability. Jim describes which tools handle permission schemes well. He goes into which tools do best with out-of-the-box and custom reports. He discusses which tools preserve your configuration/customization work during upgrades. In conclusion, Jim covers where you can get more information on the tools surveyed in this course.",Course,2023-01-10 15:23 UTC,2023-01-10 15:21 UTC,false,N/A,
Agile Software Development: Extreme Programming,"Agility is a necessity in modern software development. Extreme programming (XP) helps teams achieve agility, with higher quality, fewer bugs, and greater flexibility. XP uses ideas from other project management methodologies and takes them to an “extreme” level in order to achieve maximum impact. This course introduces the basic tenets of XP, for software developers, team leads, agile coaches, and others who want to start integrating XP at their organizations. Learn about the history, values, and mindset of XP, and dive into specifics such as user stories, release and iteration planning, test-driven development, pair programming, refactoring, and continuous integration. Each lesson helps you understand the core concepts of XP, so you can start building it into the foundation of your development cycle.",Course,2021-11-03 08:29 UTC,2021-11-03 08:27 UTC,false,N/A,
Azure Administration: Deploy and Manage Virtual Machines,"Take the next step on the path to becoming a Microsoft certified Azure Administrator: Learn how to deploy and manage virtual machines (VMs). This course is designed to teach IT professionals the skills needed to create, deploy, and maintain virtual machines, including configuring virtual networks, automating VM deployment, and implementing backups. This demo-heavy course can also be used as a resource in preparation for the Microsoft Azure Administrator exam (AZ-103) or the Microsoft Azure Architect Technologies exam (AZ-300). Instructor Sharon Bennett also explains how to apply Desired State Configurations via PowerShell, how to use scale sets, and how to move and back up VMs.",Course,2022-11-04 15:25 UTC,2022-11-04 15:22 UTC,false,N/A,
Small Business Secrets,"Are you thinking about starting a small business, freelancing, or turning a hobby into a full-time job? Or perhaps you're already running your own business and need some inspiration to take it to the next level. Join small business coach Dave Crenshaw for two short lessons that reveal the secrets of running a successful small business. This series covers topics such as getting started, writing a business plan, determining your most valuable product or service, hiring people, managing processes, documenting systems, bootstrapping, seeking funding, accounting, controlling costs and profit margins, marketing, creating culture, and more.",Course,N/A,N/A,true,N/A,
The AI-Driven Project Manager: 10X Your Productivity with Generative AI,"Learn how to uplevel your projects and streamline your work with ChatGPT. In this course, senior program manager and founder of Path to PM Jean Kang shares proven tips to help you automate and speed up common project management tasks. Learn how to use ChatGPT to build a project plan, based on factors such as resource availability and project timelines. Discover how to leverage ChatGPT for risk and change management to quickly identify potential issues and take action before they threaten project outcomes. Explore ways to use ChatGPT to craft stakeholder communication tailored to each individual, taking into account their preferences and communication style. Finally, Jean delves into using ChatGPT for project tracking and reporting, so that you can stay on top of project progress and make data-driven decisions.",Course,2025-07-11 11:55 UTC,2025-07-11 11:55 UTC,false,N/A,
Managing Stress for Positive Change (2022),"In the workplace, stress is often viewed in purely negative terms—it's seen as a response that should simply be minimized or pushed aside. However, it's possible to use stress to fuel positive change. In this course, join instructor Heidi Hanna, PhD, as she discusses what exactly stress is, how you can train yourself to use stress in more effective ways, and what managers can do to reduce employee stress when an organization experiences difficult times. She covers how individuals can use stress for good by assessing and adjusting it, as well as what you, as a manager, can do to create an environment and communication style that helps connect employees to the bigger picture. <br><br>Note: This course was featured in <i>Market Watch</i>, <i>Inc.</i>, <i>Fortune</i>, <i>Forbes</i>, and <i>Entrepreneur</i>.",Course,2019-05-23 06:25 UTC,2019-05-23 06:22 UTC,false,N/A,
Visio Desktop: Tips and Tricks,"Microsoft Visio is a popular diagramming app that's used in a variety of industries. 
In this course, Visio MVP Scott Helmers provides insider tips and techniques for getting the most out of this powerful software. Scott begins with tips for navigating the Visio interface and customizing user options. He demonstrates how to master the use of text and annotations, including how to insert fields and annotate diagrams with comments and callouts. Scott offers strategies for working more efficiently with Visio, providing time-saving techniques for creating and refining diagrams. He shares Visio keyboard shortcuts for everything from using the drawing tools to manipulating shapes, and explains how to take control of the lines in your diagram by understanding the secrets of glue and connection points.",Course,N/A,N/A,true,N/A,
Managing Resource-Constrained Projects with Microsoft Project,"The first in our series of in-depth looks at using Microsoft Project to manage different challenges, this course explores how to best plan and manage projects with a limited supply of people or equipment.<br><br>

Taught by expert project manager Bonnie Biafore, this course first shows how to create a resource plan to see if a project is feasible given the available resources. Then learn how to schedule project resources, assign them to tasks, check for overallocations, and resolve issues with techniques like substituting resources and extending and delaying tasks. Once the plan is established and work is ready to start, Bonnie shows how to execute the schedule by setting a baseline, entering actuals for the project, and recording overtime.<br><br>

Note: This course was designed in collaboration with author John Riopel.",Course,2020-12-24 14:00 UTC,2020-10-29 12:37 UTC,false,N/A,
Learning Jira Software 7.5-7.9 (2018),"Planning projects, assigning tasks, tracking progress, and releasing results can all be managed in Jira, the popular and collaborative software for development teams. In this course, Robert Anthony shares his expertise as he guides you through the fundamentals of using Jira. Robert shows you how to create tickets, locate issues assigned to you and others, use advanced search, customize dashboards, run reports, and set up workflow boards to organize work. In addition, he facilitates several challenges and solutions so you can practice what you learn as you follow along.",Course,N/A,N/A,true,N/A,
Managing Time-Constrained Projects with Microsoft Project,"Learn how to manage projects with time constraints and fast-track schedules with Microsoft Project. In this course, join expert project manager John Riopel as he shows how to verify project schedules by checking task links, checking lag between tasks, removing unnecessary date constraints, and more. Then see how to review the schedule and display the critical path, use multiple critical paths, and find incomplete paths. Next, find out how to shorten the schedule by fast-tracking tasks, shortening lag time, using crashing, reducing scope, and assigning overtime. Finally, learn how to best execute the schedule, setting a baseline and entering actuals for the project.<br><br> 

Note: This course was designed in collaboration with author Bonnie Biafore.",Course,2020-12-24 13:58 UTC,2020-10-28 11:09 UTC,false,N/A,
Managing Budget-Constrained Projects with Microsoft Project,"<em>Managing Budget-Constrained Projects with Microsoft Project</em> explores how to best set up and manage projects facing budget constraints. Taught by expert project manager John Riopel, the course first shows how to set up project costs: everything from setting project cost options to assigning budget cost and work resources. Then learn how to enter cost values and review and manage project costs. In the last section, John demonstrates how to find the biggest cost problems.<br><br>
Note: This course was designed in collaboration with author Bonnie Biafore.",Course,2020-12-24 14:00 UTC,2020-10-28 14:29 UTC,false,N/A,
Social Media Marketing with Facebook and Twitter (2018),"Learn how to use social media to promote your business. Discover how to create Facebook and Twitter profiles that engage customers and build great buzz for your brand. In this LinkedIn Learning course, marketing expert Megan Adams shows how to craft, execute, measure, and optimize a winning social media marketing strategy. Learn how Facebook differs from Twitter, and how to adjust your strategy to succeed on both platforms. Megan then shows how to build out your profiles and write engaging, high-quality content that interests your target audience. She explains the unique features of each platform, such as hashtags and rich media, and discusses how to maximize your reach by attracting more followers and fans. Finally, Megan shows you how to measure the results of your efforts to see how well your posts and tweets are performing, and provides some simple guidelines for engaging with followers online.",Course,2019-03-26 20:13 UTC,2019-03-26 10:36 UTC,false,N/A,
Goal Setting: Objectives and Key Results (OKRs),"Get started with objectives and key results (OKRs), the popular management methodology for goal setting that can encourage collaboration and alignment, clarify priorities, and empower employees to do their best work. Instructor Jessie Withers walks through the concepts behind OKRs, how to design OKRs for groups, and how to implement the framework across an organization. Jessie also discusses how to manage OKRs throughout the year, measure results, and create a culture of accountability.",Course,2022-03-01 15:39 UTC,2022-03-01 15:36 UTC,false,N/A,
Data Visualization Tips and Tricks,"<em>Data Visualization Tips and Tricks</em> is a series of standalone lessons on how to do data viz the right way, every time. Presented by award-winning data visualization expert (and Tableau-designated ""Zen Master"") Matt Francis, this software-agnostic course is designed for experienced data scientists and analytics specialists and serves as a must-have bank of knowledge and best practices. Learn how to choose the right visualization for your data, and answer the 5 key questions you should ask yourself at the beginning of every project. Topics include understanding the relationships between data sets, making comparisons, charting relationships, visualizing data distributions, creating maps, and—most valuably—knowing when to use which types of graphs and charts. Matt also teaches you how to understand what others are doing with their own visualizations, ask informed questions, and look with a critical eye at the work of others.",Course,2018-08-10 06:03 UTC,N/A,false,N/A,
Building an Integrated Online Marketing Plan,"Successful marketing is holistic: it considers every channel, from email to search to social media. It is also focused: on the business's core values, customers, and goals. What keeps all these moving parts in check? An effective strategy. Learn how to build an integrated online marketing plan for your organization, in this course with marketing expert Matt Bailey.<br><br> 

Discover why a successful business strategy starts with you, namely your narrative and your value. Learn how to define your target customers, and understand where their needs and your business goals align. Find out how to evaluate the best channel for your message, whether it's Facebook, Twitter, Instagram, LinkedIn, or Pinterest. See how to develop a calendar for putting the right content in front of the right people at the right time. Plan for success by researching SEO, trending topics, annual content, and seize-the-day opportunities. Plus, learn how to think like a publisher; integrate content marketing into lead generation; and measure, model, and review your success.",Course,2019-06-12 14:03 UTC,2019-06-12 14:03 UTC,false,N/A,
Learning PowerPoint for the web (Office 365/Microsoft 365) (2020),"With PowerPoint Online, you can create, edit, and share presentations directly in your web browser. The web app is flexible and powerful, but it differs from the desktop version of PowerPoint. In this course, Microsoft Certified Trainer Heather Severino walks you through all the unique features of PowerPoint Online. She begins with basics, showing how to create, open, and save files in a browser. Next, she walks through slide layout essentials, such as adding headers and footers, and shows how to incorporate visuals such as charts, photos, videos, and audio. She also demonstrates how to share and co-edit presentations, as well as view and print PowerPoint files. Finally, she shares some handy keyboard shortcuts and explains how to get help with the Tell Me feature.<br><br>

Note: This course is for users who know the basics of the PowerPoint desktop app, but are new to the web browser version, PowerPoint Online. It emphasizes features that work differently in PowerPoint Online. For basic PowerPoint guidance, please see PowerPoint Essential Training (Office 365) or Learning PowerPoint 2019.",Course,2021-01-08 14:01 UTC,2021-01-08 13:40 UTC,false,N/A,
Business-to-Business Sales (2017),"Business to business (B2B) sales are often more complex than business to consumer (B2C) sales. There is more competition at the B2B level, and more stakeholders. Salespeople are trying to sell to experienced buyers, who want the best product at the best price. However, with the right techniques, B2B can be the place where salespeople shine. Learn exactly what it takes to be successful at business to business sales—whether you're moving from a B2C role or just starting your career in sales. Join Robbie Baxter, as she reviews over a typical day in B2B sales, from meeting with prospects to closing the deal. She provides insights into the skillset and personality of a successful salesperson, and tips for finding a B2B sales position. For sales managers and leaders, Robbie also provides some tips for building out B2B sales goals, structuring a sales team, and collaborating with the rest of the organization for ongoing success.",Course,2019-08-20 16:55 UTC,2019-08-20 16:49 UTC,false,N/A,
Azure Data Lake for Developers,"If there’s one thing that affects almost every aspect of our lives, it’s data. Personal data, demographic data, weather data, traffic data, and more—these days seemingly everything is analyzed using data. If you’re a developer, the amount of data being collected and used probably has you constantly asking two big questions: 1) How can you securely store this data, and 2) How can you do this without expenses skyrocketing? In this course, Carmel Eve gives you an overview of Azure Data Lake, a cost-effective storage option from Microsoft. Carmel starts with a look at Azure Storage—the technology upon which Azure Data Lake is built—and then discusses the advantages that Azure Data Lake provides on top of the capabilities of Azure Storage, so you know exactly what Azure Data Lake brings to the table. From there, she goes into more detail around hierarchical namespaces, accessing data within Azure Data Lake, and the security model.",Course,2023-11-07 12:54 UTC,2023-11-07 12:50 UTC,false,N/A,
Artificial Intelligence Foundations: Thinking Machines,"<p>Computer-enhanced artificial intelligence (AI) has been around since the 1950s, but recent hardware innovations have reinvigorated the field. New sensors help machines have more accurate sight, hear sounds, and understand location. Powerful processors can help computers make complex decisions, sort through possibilities, plan outcomes, and learn from mistakes. The possibilities are thrilling; the implications are vast.</p><p>This course will introduce you to some of the key concepts behind artificial intelligence, including the differences between ""strong"" and ""weak"" AI. You'll see how AI has created questions around what it means to be intelligent and how much trust we should put in machines. Instructor Doug Rose explains the different approaches to AI, including machine learning and deep learning, and the practical uses for new AI-enhanced technologies. Plus, learn how to integrate AI with other technology, such as big data, and avoid some common pitfalls associated with programming AI.</p>",Course,2020-12-01 14:58 UTC,2020-10-14 15:12 UTC,false,N/A,
Tips for Working Remotely,"Learn how to work remotely and remain connected to your organization. In this course, coach Todd Dewett reveals how you can create a productive work environment at home by structuring your day correctly, dedicating a space to work, and avoiding distractions. Once your workspace is established, he shares best practices for staying in touch with your colocated team. Last, he addresses the most common challenges encountered by remote workers: feeling isolated, navigating office politics from afar, and communicating virtually.<br><br>
Note: This course was featured in <i>Market Watch</i>, <i>Inc.</i>, <i>Fortune</i>, <i>Forbes</i>, and <i>Entrepreneur</i>.",Course,N/A,N/A,true,N/A,
Develop a Service Orientation,"A service orientation is a mindset in an organization—a culture more than a process. Not every organization benefits from a service orientation, but when sales and marketing are more important than the product specs, service becomes the differentiator. Great service can increase loyalty, revenue, and profitability. This course shows how to recognize if service is important for your organization and how to shift to a service-oriented sales culture. Strategy and marketing consultant Robbie Baxter also outlines the types of service-oriented selling and explains how to overcome some of the unique challenges involved.",Course,2019-07-25 11:21 UTC,2019-07-25 11:19 UTC,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:5007883,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:5007883,Course,2019-03-13 06:06 UTC,N/A,false,N/A,
Construction Management: Introduction to Lean Construction,"<p>While manufacturing has realized substantial gains in productivity, the construction industry hasn't seen notable improvements in productivity over the past few decades. Lean productivity—a tried and tested continual improvement process leveraged in manufacturing—contains elements that lend themselves to being ported over to the construction process. In this course, explore the lean theory of production and learn how it can be successfully adopted in construction to enhance efficiency. Instructor Jim Rogers provides a brief introduction to the theory of lean productivity, describing key concepts and explaining how lean applies to construction. Jim then spells out the changes that need to occur in order for lean to be successfully adopted in the construction industry. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/procore-construction-management-professional-certificate"" target=""_blank"">Professional Certificate</a> from Procore.</p>",Course,2018-08-02 20:16 UTC,N/A,false,N/A,
Leading Change (2013),"Along the way, the course covers techniques that will increase the likelihood of your change succeeding, such as anticipating resistance, creating a compelling vision, and using emotional intelligence to build staff consensus.<br><br>Lynda.com is a PMI Registered Education Provider. This course qualifies for professional development units (PDUs). To view the activity and PDU details for this course, click <a href=""https://ccrs.pmi.org/search/Activity/215537"" target=""_blank"">here</a>.<br><img src=""https://media.licdn.com/media/AAYAAQCwAAoAAQAAAAAAAEek_v1B9xtISnas4Pi7rm5RPg.jpg"" height=""50%"" width=""50%""><br>The PMI Registered Education Provider logo is a registered mark of the Project Management Institute, Inc.",Course,2020-06-22 10:59 UTC,N/A,true,N/A,
"The Data Science of Economics, Banking, and Finance, with Barton Poulson (2017)","Nowhere is data science more relevant than finance. Tracking the movement of money around the globe is one of the primary tasks for today's analysts. In this course, find out how algorithms, automation, big data applications, and machine learning are changing the nature of economics, banking, and finance. Data scientist and professor Barton Poulson provides a nontechnical overview of both the successful and problematic applications of data science to these fields. Learn how data science affects the way stocks are bought and sold, how loan applications are processed, and even how fraud is detected now that financial information is exchanged online at such a massive scale. Discover how social media influences economic trends, and why data scientists need to be especially careful to keep ethics in mind and false assumptions in check when dealing with financial data.",Course,2020-07-13 08:49 UTC,2020-07-13 08:41 UTC,false,N/A,
Designing a Presentation (2019),"Perhaps the most essential skill for all knowledge workers, sales professionals, business owners, and educators is the ability to design compelling presentations. Whether you’re reporting performance metrics, delivering a training, or pitching a big idea, you need a presentation to support you and illuminate your speech. In this course, designer Tony Harmer takes you through the essentials of presentation design to give you the tools you'll find most useful in thinking about, designing, and building successful presentations. Tony covers a variety of key topics, including moodboards, layout, color considerations, type, graphics and images, charts, transitions, and animations.",Course,2019-09-18 13:21 UTC,2019-09-18 13:20 UTC,false,N/A,
SharePoint for Enterprise: Data Management (2018),"Managing data is key to making SharePoint effective and accurate in reporting. In this course, Philip Gold explores the best practices for data management inside SharePoint, and across all SharePoint sites. Learn about the importance of metadata, and how well-formatted lists can perform the heavy lifting you used to do in Excel spreadsheets. Find out how to adjust permissions for sensitive libraries, and use version control to make sure no change is ever irrecoverable. Philip also shows how to create more dynamic views that allows user to sort and filter results, and integrate Excel and Project into your SharePoint data management workflow.",Course,2021-05-13 11:12 UTC,N/A,false,N/A,
Emotional Intelligence for Project Managers (Blinkist Summary),"<i>Emotional Intelligence for Project Managers</i> builds on the writings of Daniel Goleman, who developed principles of emotional intelligence. Emotional intelligence is crucial in many aspects of life, and author Anthony Mersino tailors Goleman’s principles specifically to the needs of project managers. Discover how to develop skills such as self-awareness, self-management, and social awareness, and practice relationship management and team leadership on an advanced level. This short, audio-only course helps project managers master the people skills they need to achieve outstanding results—in under 15 minutes.<br><br>

Note: This audiobook summary was produced by <a href=""https://www.blinkist.com/?utm_source=linkedinlearning&utm_medium=partner&utm_campaign=Emotional-Intelligence-for-Project-Managers-Blinkist"" target=""_blank"">Blinkist</a>. We are pleased to host this content in our library.",Course,2020-10-12 09:39 UTC,2020-10-12 09:38 UTC,false,N/A,
